mmsi;imo_nr;length;date_time_utc;lon;lat;sog;cog;true_heading;nav_status;message_nr
231800000;9818319;89;2018-01-02 07:27:31;9.7655;59.0121;9.8;310.7;308;0;1
231800000;9818319;89;2018-01-02 07:27:43;9.76473;59.0125;9.8;307.4;308;0;1
231800000;9818319;89;2018-01-02 07:27:53;9.76405;59.0127;9.8;307.3;308;0;1
231800000;9818319;89;2018-01-02 07:28:02;9.76343;59.013;9.8;308.1;308;0;1
231800000;9818319;89;2018-01-02 07:28:13;9.76273;59.0132;9.8;309.1;309;0;1
231800000;9818319;89;2018-01-02 07:28:32;9.76145;59.0138;9.7;309.5;309;0;1
231800000;9818319;89;2018-01-02 07:28:43;9.76065;59.0141;9.7;309.6;309;0;1
231800000;9818319;89;2018-01-02 07:28:52;9.76;59.0144;9.6;308.9;308;0;1
231800000;9818319;89;2018-01-02 07:29:04;9.75932;59.0147;9.6;307.5;308;0;1
231800000;9818319;89;2018-01-02 07:29:12;9.75872;59.0149;9.6;307.6;310;0;1
231800000;9818319;89;2018-01-02 07:29:31;9.75745;59.0154;9.6;310.7;316;0;1
231800000;9818319;89;2018-01-02 07:29:41;9.7569;59.0157;9.5;315.4;319;0;3
231800000;9818319;89;2018-01-02 07:29:51;9.75628;59.0161;9.3;319.6;321;0;3
231800000;9818319;89;2018-01-02 07:30:02;9.75575;59.0164;9.3;320.5;321;0;3
